DoC_PD_ID,LICENSE_NO,PROFESSION_NAME,LICENSE_NAME,FIRST_NAME,LAST_NAME,SORT_NAME,FULL_NAME,AKA,NAME_SUFFIX,DATE_OF_BIRTH,SSN,ISSUE_DATE,EXPIRATION_DATE,LIC_STATUS,DATE_THIS_STATUS,ADDR_LINE_1,ADDR_LINE_2,ADDR_CITY,ADDR_STATE,ADDR_ZIPCODE,ADDR_COUNTY,ADDR_PHONE,ADDR_EMAIL,DATE_DECEASED,LICENSE_NAME2,DISCIPLINE,FEDERAL_ID
280,87854-2780,Marriage & Family Therapy,Associate Marriage & Family Therapist,Ashley,Farley,"Farley, Ashley",Ashley Farley,,,5/6/1965,,8/11/2016,8/11/2019,Active,8/11/2016,112 S 1540 E,,Provo,UT,84762,,,,,Associate Marriage & Family Therapist,N,
276,284117-1437,Pharmacy,Pharmacy Technician Trainee,Bradley,Johnson,"Johnson, Bradley",Bradley Johnson,,,5/21/1963,,7/28/2016,7/28/2018,Active,7/28/2016,1258 Mountain Road,,Satellite Beach,UT,84029,,,,,Pharmacy Technician Trainee,N,
272,71365-3180,Recreational Therapy,Therapeutic Recreation Specialist,Michael,Philips,"Philips, Michael",Michael Philips,,JR,11/16/1993,,7/28/2016,5/31/2019,Active,7/28/2016,8112 S 3200 W ,,Herriman,UT,84606,,,,,Therapeutic Recreation Specialist,N,
269,700237-3337,Physician,Physician & Surgeon,Shanna,Fineman,"Fineman, Shanna",Shanna Fineman,,,7/24/1984,,8/8/2016,1/31/2018,Active,8/8/2016,320 Harders Crossing Blvd,,Provo,NH,95950,,,,,Physician & Surgeon,N,
267,752295-1544,Pharmacy,Pharmacist,Kylie,Seboldt,"Seboldt, Kylie",Kylie Seboldt,, ,5/1/1992,,8/2/2016,9/30/2017,Active,8/2/2016,611 Terrace,,Sandy,UT,84101,,,,,Pharmacist,N,
256,989387-3317,Pharmacy,Pharmacy Technician Trainee,Marisa,Ostler,"Ostler, Marisa",Marisa Ostler,,,4/6/1998,,7/29/2016,7/29/2018,Active,7/29/2016,1773 E Sego Dr,,Duck Creek Village,UT,84044,,,,,Pharmacy Technician Trainee,N,
251,436348-1706,Nurse,Registered Nurse,Sarah,Trafecante,"Trafecante, Sarah",Sarah Trafecante,,,10/5/1966,,8/3/2016,1/31/2019,Active,8/3/2016,1361 Edison St,,Shreveport,IL,60010,,,,,Registered Nurse,N,
250,275975-1948,Pharmacy,Pharmacy - Class E Business,Kathryn,Begay,"Begay, Kathryn",Kathryn Begay,,,913,,8/3/2016,2/3/2017,Active,8/3/2016,2116 W 400 S,,Saint George,UT,84070,,,,,Pharmacy - Class E Business,N,
250,379249-2090,Pharmacy,Limited Controlled Substance-Business,James,Carr,"Carr, James",James Carr,,,899,,8/9/2016,2/3/2017,Active,8/9/2016,80 N 900 W,,Logan,UT,84070,,,,,Limited Controlled Substance-Business,N,
248,940943-2183,Nurse,Registered Nurse,,Grimes,"Grimes, ", Grimes,,,5/7/1993,,8/3/2016,1/31/2019,Active,8/3/2016,4369 Lincoln Cir Apt B,,Riverdale,OH,44319,,,,,Registered Nurse,N,
243,900424-2586,Pharmacy,Temporary Pharmacist,Emily,Buchanan,"Buchanan, Emily",Emily Buchanan,,,9/10/1991,,8/1/2016,2/1/2017,Active,8/1/2016,3566 Woodland Trl,,Salt Lake City,UT,84102,,,,,Temporary Pharmacist,N,
230,717718-2426,Physician,Physician & Surgeon,Kelsi,Yates,"Yates, Kelsi",Kelsi Yates,,,3/24/1968,,8/2/2016,1/31/2018,Active,8/2/2016,138 E 12300 S #123,,Spanish Fork,WV,25702,,,,,Physician & Surgeon,N,
226,872656-3324,Pharmacy,Pharmacy Technician Trainee,Danelle,Ammon,"Ammon, Danelle",Danelle Ammon,,,11/22/1995,,8/2/2016,8/2/2018,Active,8/2/2016,17 E 400 No #19,,Bountiful,UT,84056,,,,,Pharmacy Technician Trainee,N,
219,482768-1225,Psychologist,Behavior Analyst,Clare,Gates,"Gates, Clare",Clare Gates,,,11/14/1992,,8/8/2016,9/30/2018,Active,8/8/2016,432 N 500 W,,Salt Lake City,UT,84102,,,,,Behavior Analyst,N,
216,532944-2908,Nurse,Request  Authorization to Test - RN,Emily,Simon,"Simon, Emily",Emily Simon,,,11/12/1990,,8/3/2016,9/2/2016,Approved,8/3/2016,343 S 500 E Apt #523,,Clearfield,CA,90042,,,,,Request  Authorization to Test - RN,N,
213,711093-1624,Pharmacy,Pharmacy Technician Trainee,Kenzie,Hope,"Hope, Kenzie",Kenzie Hope,,,7/4/2000,,8/4/2016,8/4/2018,Active,8/4/2016,4840 S State St no 217,,Salt Lake City,UT,84005,,,,,Pharmacy Technician Trainee,N,
